"STREET_ID","POST_INDEX_ID","COMMENTS"
168,8,""
169,22,""
170,4,""
171,4,""
172,0,""
175,4,""
173,4,""
176,16,""
177,16,""
178,12,""
179,12,""
180,0,"1-55 -"
180,15,"57-999 -"
181,0,""
183,15,""
184,0,""
185,0,"10,15 -"
185,5,"Ч(22-30),Н(53-59) -"
189,19,""
190,5,""
191,5,""
192,21,""
193,20,""
194,0,""
195,19,""
196,7,""
197,21,""
198,9,""
199,19,""
200,15,""
201,15,""
202,16,""
203,15,""
204,7,""
205,4,""
206,8,""
210,7,""
211,12,""
212,5,""
214,15,""
215,15,""
217,0,""
218,13,""
219,11,""
220,0,""
221,9,""
222,6,""
223,6,""
224,11,""
225,5,"Н(3-15) -"
225,11,"Ч(2-24),Ч(34-60) -"
186,0,""
187,13,""
188,0,"1-29 -"
188,15,"30-999 -"
207,7,""
208,6,""
209,15,""
226,9,""
227,13,""
229,15,""
230,7,""
231,0,""
232,10,""
233,0,""
234,0,""
235,0,""
236,4,""
237,5,"6 -"
237,1,"Н(1-999),Ч(2-4),Ч(8-998) -"
238,9,""
239,9,""
240,16,""
241,16,""
242,8,""
243,10,""
244,10,""
246,3,""
247,3,""
245,16,""
248,19,""
249,5,""
250,3,""
251,8,""
252,12,""
253,8,""
254,15,""
255,6,""
256,6,""
257,9,""
258,8,""
259,13,""
260,3,""
261,0,""
262,0,""
263,15,""
264,19,""
266,0,""
267,0,""
268,0,""
269,0,""
271,20,""
272,0,""
273,0,""
274,15,""
275,12,""
276,5,""
278,8,""
279,3,""
280,22,""
280,14,""
281,22,""
282,15,""
283,15,""
284,5,""
285,13,""
286,8,""
287,19,""
289,3,""
290,5,""
291,21,""
292,15,""
293,15,""
294,7,""
295,7,""
296,15,""
297,0,""
298,0,""
299,0,""
300,0,""
301,0,""
302,16,""
303,15,""
304,15,""
305,0,""
306,10,""
307,16,""
308,10,""
309,4,""
310,9,"1-25 -"
310,0,"Н(27-999),Ч(32-998) -"
311,9,""
312,9,""
313,17,""
314,0,""
315,3,""
316,7,""
317,10,""
348,0,""
349,13,""
350,5,""
351,4,""
352,0,""
382,0,"Н(1-61),Ч(2-64) -"
382,13,"Н(63-999),Ч(70-998) -"
383,20,""
384,19,""
318,20,""
319,10,""
320,12,""
321,20,""
322,20,""
323,20,""
324,14,""
325,4,""
326,0,""
327,0,""
328,21,""
329,0,""
330,4,""
331,4,""
332,4,""
333,4,""
335,20,""
336,19,""
339,16,""
340,14,""
341,14,""
342,8,"Н(1-57),Ч(2-40) -"
342,13,"Н(145-999),Ч(158-998) -"
342,0,"Н(59-143),Ч(54-140) -"
343,8,""
344,4,""
345,20,"Н(1-23) -"
345,4,"Н(69-999),Ч(2-998) -"
346,4,""
347,0,""
347,5,"1-5,Н(7-15),Ч(16-72),Ч(76-998) -"
347,11,"Ч(6-14),74,17,Н(25-75) -"
353,5,""
354,9,""
355,9,""
356,19,""
357,7,""
358,4,""
359,7,""
