"BRANCH_ID","LEGEL_NAME","ADDRESS_ID","PHONE_ID","FORM_TYPE_ID","COMMENTS","ORG_ID","MAIN_BRANCH","FACT_NAME"
4029,"Львова М.В.",4068,6534,7,"",4238,1,"Сумки микс"
4031,"Шармэль",4070,6536,5,"",4240,1,"Шармэль"
4535,"Балко ГМ Плюс",4574,7272,5,"",4761,1,"Балко ГМ"
4536,"Калининградский областной Центр диагностики и консультирования детей и подростков",4575,7273,27,"",4762,1,"Центр диагностики и консультирования детей и подростков"
4547,"Семейная стоматология",4586,7294,5,"",4775,1,"Семейная стоматология"
4553,"БизнесПолиграф Оборудование",4592,27281,5,"",4781,1,"ДЖИ-ЭС"
4590,"СК",4629,24239,5,"",672,0,"Клондайк Группа компаний"
4610,"12 стульев Арт-клуб",4649,7391,5,"",4841,1,"12 стульев Арт-клуб"
4621,"Стилист",4660,17494,5,"",4852,1,"Стилист"
4631,"Янтарный сувенир",4670,7418,5,"",4864,1,"Янтарный сувенир"
4647,"Адам",4686,7438,5,"",4880,1,"Адам"
20279,"Нестеровская вечерняя средняя общеобразовательная школа",20033,,16,"",18515,1,"Нестеровская вечерняя средняя общеобразовательная школа"
20280,"Покрышкинская средняя образовательная школа",20034,,16,"",18516,1,"Покрышкинская средняя образовательная школа"
5861,"Организационно-аналитический отдел.",5900,8979,27,"",6190,1,"Организационный отдел"
5863,"Нормативно-правовой отдел",5902,8981,27,"",6193,1,"Нормативно-правовой отдел"
5865,"Пресс-служба",5904,8983,27,"",6195,1,"Экспертно-аналитический отдел"
5874,"Центр специализированной медицинской помощи",5913,18173,27,"",6207,1,"Центр специализированной медицинской помощи"
5876,"Областной противотуберкулезный диспансер",5915,8994,30,"",6209,1,"Областной противотуберкулезный диспансер"
5843,"Центральная городская больница г. Багратионовска",5882,8958,30,"",6168,1,"Центральная городская больница г. Багратионовска"
5883,"Калининградская коллегия адвокатов. Филиал в г. Зеленоградске",5922,9001,27,"",6217,1,"Калининградская коллегия адвокатов филиал в г. Зеленоградске"
5891,"Калининградская областная коллегия адвокатов. Филиал в г. Светлогорске",5930,9010,10,"",6225,1,"Калининградская областная коллегия адвокатов филиал в г. Светлогорске"
5913,"Центр государственной инспекции по маломерным судам МЧС России по КО",5952,9033,27,"",6249,1,"Центр государственной инспекции по маломерным судам МЧС России по КО"
5949,"Чернобыль Калининградский городской реабилитационный центр",5988,9075,27,"",6292,1,"НЕДОЗВОН/Чернобыль Калининградский городской реабилитационный центр"
5976,"Российский морской регистр судоходства",6015,9110,26,"",6320,1,"Российский морской регистр судоходства Калининградский филиал"
6805,"Балтийский парад",6844,10238,5,"",7003,1,"Балтийский парад"
17515,"Офис Плюс",17329,,5,"",16460,1,"Офис Плюс"
7055,"Гостевой дом Клавдия",7094,10609,5,"",7263,1,"Клавдия Гостевой дом"
7056,"Генералъ",7095,10610,5,"",7264,1,"Генералъ"
7058,"Каркуша",7097,10614,5,"",7265,0,"Каркуша"
7060,"Каркуша",7099,10616,5,"",7265,0,"Каркуша"
7063,"Каркуша",7102,10620,5,"",7265,0,"Каркуша"
7088,"Центр медицинской и социальной реабилитации УФСИН",7127,10648,28,"",7280,1,"Центр медицинской и социальной реабилитации УФСИН"
7106,"Сэтл Эстейт Эксперты по недвижимости",7145,10677,5,"",7301,1,"Сэтл Эстейт Эксперты по недвижимости"
7111,"Русский ипотечный банк КБ Балтийский филиал",7150,10689,11,"",7304,1,"Русский ипотечный банк КБ Балтийский филиал"
7164,"Шнейдер Электрик",7203,10766,5,"",7345,1,"Шнейдер Электрик"
7195,"Юкор-Строй",7234,10808,5,"",7370,1,"Юкор-Строй"
7210,"Дотоль С.П.",7249,10826,7,"",7382,1,"Поршень"
7241,"Довид ГК",7280,,5,"",7416,1,"Довид Группа компаний"
8908,"Оценочная компания",8947,13440,5,"",9148,1,"Оценочная компания"
8909,"Офис-Лайн",8948,13441,5,"",7331,1,"Топ-Класс"
7663,"Перспективы нового века",7702,11514,5,"",7835,1,"Перспективы нового века"
7942,"Открывашка",7981,11968,5,"",8145,1,"Открывашка"
7945,"Инстал-Авто",7984,11973,5,"",7740,0,"Инстал-Авто"
7960,"Арти-авто",7999,25701,5,"",8165,1,"Арти-авто"
23218,"Архитектурная мастреская Квадр",22941,,5,"",20322,1,"Квадр Архитектурная мастерская ООО"
8282,"Вершина мира",8321,12481,5,"",8504,1,"Вершина мира"
8300,"Ресурссервис",8339,12510,5,"",8526,1,"НЕДОЗВОН/Ресурссервис ООО"
8322,"Петрол Плюс Регион",8361,12544,5,"",8548,1,"НБТ/Петрол Плюс Регион"
8344,"Авитон",8383,12586,5,"",8573,1,"Авитон"
23219,"Строительная компания Изотерма",22942,,5,"",20323,1,"Изотерма Строительная компания ООО"
8553,"Ильченко В.И.",8592,12861,7,"",7170,1,"Западавтостекло"
8560,"Avgusto",8599,12868,5,"",8795,1,"Avgusto"
23220,"Центр оценки маркетинговых исследований",22943,,5,"",20324,1,"Центр оценки маркетинговых исследований"
23221,"Ракурс",22944,,5,"",20325,1,"Ракурс"
4652,"In Wear Matinique",4691,7445,5,"",4886,0,"In Wear Matinique"
23222,"Твори добро",22945,,5,"",20326,1,"Твори добро"
4656,"У быков",4695,7449,5,"",4888,1,"У быков"
4658,"Солянка",4697,7452,5,"",4891,1,"Солянка"
23223,"Интер-Промсерт",22946,,5,"",20327,1,"Интер-Промсерт ООО"
4691,"Озерский техникум природообустройства",4730,7493,27,"",4925,1,"Озерский техникум природообустройства"
4709,"Советский кинотехникум",4748,7529,16,"",4943,1,"Советский кинотехникум"
4722,"Калининградский институт управления",4761,7548,27,"",4956,1,"Калининградский институт управления"
4724,"Альянс-Авто ООО",4763,7549,5,"",4958,1,"Альянс-Авто ООО"
4738,"Калининградский пограничный институт Федеральной службы безопасности РФ",4777,7567,16,"",4968,1,"Калининградский пограничный институт Федеральной службы безопасности РФ (КПИ ФСБ России)"
4740,"Калининградский юридический институт",4779,25883,16,"",4971,1,"Калининградский юридический институт МВД РФ филиал Санкт-Петербургского института МВД РФ"
4746,"Колледж экономики, страхового дела и информационных технологий КЭСИ Калининградский филиал",4785,9255,27,"",4977,1,"Колледж экономики, страхового дела и информационных технологий КЭСИ Калининградский филиал"
4756,"ВЕК-СТ",4795,7597,5,"",4989,1,"ВЕК-СТ ООО"
