"SOC_RUB_ID","ORG_ID"
3,1717
3,5058
3,5073
3,5078
3,5100
3,5110
3,5116
3,5134
3,5136
3,6155
3,6158
3,6167
3,6168
3,6382
3,6395
3,6719
3,11555
3,12060
3,12067
3,12070
3,12309
3,12312
3,12318
3,12319
3,12321
3,12892
3,12893
3,12907
3,12916
3,12921
3,12927
3,12929
3,12935
3,12937
3,12942
3,12949
3,12964
3,12966
3,13026
3,13034
3,13061
3,13062
3,13065
3,13198
3,15222
3,15226
3,15260
3,15655
3,18044
3,18588
3,18609
3,18871
3,18883
3,18884
3,19343
3,23932
3,24059
5,20621
7,12476
8,3084
8,3305
8,3306
8,3307
8,3309
8,3310
8,3311
8,3312
8,3315
8,3317
8,3318
8,3319
8,3320
8,13652
8,13765
8,16218
8,16219
8,16220
8,16221
8,19164
8,19312
8,19463
8,20723
8,24033
8,24051
9,5633
11,4315
11,4743
11,5142
11,5429
11,6338
11,10183
11,18923
11,19265
11,19369
11,19504
11,19616
11,20143
11,22774
11,24075
12,18962
12,20999
13,3282
16,6186
16,6188
16,6190
16,6192
16,6193
16,6195
16,6293
16,12598
16,16275
16,16276
16,16279
16,16283
16,16285
16,16286
16,19139
16,19407
16,19408
16,19409
16,19410
16,20845
16,20847
16,23849
16,23851
16,23852
16,23853
16,23856
16,23876
16,23917
16,23925
16,23926
16,23969
16,23985
16,24009
16,24034
16,24035
16,24037
16,24052
16,24063
16,24078
17,20606
18,16273
18,16277
18,18781
18,19255
18,22803
18,22804
18,22805
18,22806
18,22807
18,22808
18,22809
18,22811
18,22813
18,22815
18,22816
18,22817
18,22818
18,22820
18,22821
18,22822
18,22823
18,24080
18,24081
18,24082
18,24083
18,24084
18,24085
18,24086
18,24087
18,24088
18,24089
18,24090
18,24096
19,18770
19,19237
19,19238
19,19239
19,19240
19,19242
19,19243
19,19244
19,19245
19,19246
19,19247
19,19248
19,19249
19,19250
19,19251
19,19252
19,19253
19,19256
19,19260
19,19261
19,19263
19,20857
19,20859
19,20865
19,20902
19,20903
19,20904
19,20905
19,20906
20,5455
20,20860
24,5649
24,5650
24,11830
24,15664
28,5279
28,5297
28,7184
28,9376
28,14198
28,14921
28,15140
28,18704
28,18709
28,18712
