"RUB_ID","NAME"
208,"ЦВЕТОЧНЫЕ САЛОНЫ"
209,"ЦЕЛЛЮЛОЗНО-БУМАЖНАЯ ПРОДУКЦИЯ"
210,"ЧАСЫ"
211,"ЧУЛОЧНО-НОСОЧНЫЕ ИЗДЕЛИЯ: ПРОИЗВОДСТВО И ПРОДАЖА"
212,"ШВЕЙНЫЕ И ВЯЗАЛЬНЫЕ МАШИНЫ"
213,"ЭЛЕКТРОМОНТАЖНЫЕ РАБОТЫ"
214,"ЭЛЕКТРОСНАБЖЕНИЕ"
215,"ЭЛЕКТРОТЕХНИКА И ЭЛЕКТРОМАТЕРИАЛЫ"
216,"ЮВЕЛИРНЫЕ ИЗДЕЛИЯ"
217,"ЮРИДИЧЕСКИЕ УСЛУГИ"
313,"АВТОМОБИЛЬНЫЕ АККУМУЛЯТОРЫ"
317,"ГИДРАВЛИКА"
318,"КАМЕНЬ, ИЗДЕЛИЯ ИЗ КАМНЯ"
347,"КОМПЬЮТЕРЫ, ОРГТЕХНИКА: СЕРВИС"
348,"ИНЖИНИРИНГ"
349,"ТРОТУАРНАЯ ПЛИТКА"
300,"СУПЕРМАРКЕТЫ, УНИВЕРМАГИ, РЫНКИ"
301,"КАМИНЫ И КАМИННЫЕ АКСЕССУАРЫ"
302,"ПЛОМБЫ И СРЕДСТВА ПЛОМБИРОВАНИЯ"
307,"КРЮИНГ"
308,"БАНИ, САУНЫ"
309,"БАНИ, БАССЕЙНЫ, САУНЫ: ОБОРУДОВАНИЕ"
311,"ЛЕСТНИЦЫ"
312,"АВТОСИГНАЛИЗАЦИИ, АВТОЗВУК"
314,"КЕРАМИКА, ФАРФОР, ХРУСТАЛЬ"
315,"ОХОТА И РЫБОЛОВСТВО"
353,"ВИДЕОУСЛУГИ"
358,"ЭЛЕМЕНТЫ ПИТАНИЯ"
359,"ФОТОТОВАРЫ, ФОТООБОРУДОВАНИЕ"
354,"ДЕВЕЛОПМЕНТ"
355,"НОТАРИАЛЬНЫЕ КОНТОРЫ"
356,"ВТОРИЧНОЕ СЫРЬЕ"
303,"АВИАБИЛЕТЫ"
304,"СЕЙФЫ"
305,"АВТОМОБИЛИ: ТЮНИНГ"
306,"ЛОМБАРДЫ"
316,"ЭКСПЕРТИЗА"
319,"РАДИО"
320,"РАДИОСВЯЗЬ, РАДИООБОРУДОВАНИЕ"
321,"АВТОВОКЗАЛЫ"
323,"АВТОМОБИЛЬНЫЕ СТЕКЛА"
390,"ПИТОМНИКИ: ЖИВОТНЫЕ"
325,"КОВРЫ И НАПОЛЬНЫЕ ПОКРЫТИЯ"
326,"КОМИССИОННЫЕ МАГАЗИНЫ, СЕКОНД ХЕНД"
327,"КОМПРЕССОРЫ, НАСОСЫ"
328,"КОСМЕТОЛОГИЯ: ИНСТРУМЕНТЫ И ОБОРУДОВАНИЕ"
