"BRANCH_ID","PHONE_ID","NAME","FAX","DIRECTOR","CONTACT","DESCRIPTION","PUBLISHABLE","MOBILE","MOBILE_PREFIX"
2230,3817,"532634",1,0,0,"",0,,
2236,3825,"532677",0,0,0,"",1,,
2255,3859,"958080",1,0,0,"",0,,
24184,42741,"962818",0,0,0,"",0,,
26926,50149,"398484",0,0,0,"",0,,
2302,3933,"532236",0,0,0,"",1,,
2335,3984,"631042",1,0,0,"",1,,
27704,50150,"670110",0,0,0,"",1,,
2353,4013,"514909",0,0,0,"",1,,
2366,4037,"4522239",0,0,0,"",0,1,911
2386,4074,"536665",0,0,0,"",1,,
10640,30556,"524352",0,0,0,"",1,,
18240,30557,"778105",0,0,0,"",1,,
25066,44571,"981017",0,0,0,"",1,,
9850,35866,"4621880",0,0,0,"",0,1,911
9850,35867,"391486",0,0,0,"",0,,
562,35868,"937000",1,0,0,"Телефон/факс",1,,
29333,53627,"31472",0,0,0,"",1,,
25068,44573,"615615",0,0,0,"",1,,
562,35869,"577778",0,0,0,"",1,,
18305,30684,"8581772",0,0,0,"",1,1,911
5017,53628,"219218",0,0,0,"",0,,
18261,30612,"464492",0,0,0,"",1,,
18305,30685,"756483",0,0,0,"",0,1,4012
5017,53629,"950174",0,0,0,"Пресс-служба",1,,
5017,53630,"931698",0,0,0,"Стол справок абонентского отдела",1,,
2415,25792,"390240",0,0,0,"",1,,
2437,4177,"350858",1,0,0,"",1,,
2443,4188,"692204",0,0,0,"",0,,
5017,53632,"218473",0,0,0,"Стол справок абонентского отдела",0,,
2463,4217,"643323",0,0,0,"",1,,
1124,1931,"991807",1,0,0,"",1,,
1138,1952,"934411",0,0,0,"",1,,
25069,44575,"2920878",0,0,0,"",1,1,963
1173,2009,"320202",0,0,0,"",0,,
1179,2018,"954033",1,0,0,"",1,,
25070,44576,"310000",0,0,0,"",1,,
1281,2217,"958252",0,0,0,"",0,,
5017,53633,"216298",0,0,0,"Расчетная группа абонентского отдела по работе с населением",1,,
18983,31951,"1001740",0,0,0,"",1,1,921
18996,31962,"969152",0,0,0,"",1,,
18693,31963,"4558483",0,0,0,"",0,1,911
25071,44577,"539365",0,0,0,"",1,,
25071,44578,"539364",0,0,0,"",0,,
18998,31964,"4999216",0,0,0,"",1,1,911
25072,44579,"61083",0,0,0,"",1,,
1323,2318,"969040",1,0,0,"",1,,
1324,2320,"937090",1,0,0,"",0,,
24069,42586,"507217",0,0,0,"",1,,
11594,18288,"718302",0,0,0,"",1,,
5017,53634,"956557",0,0,0,"Расчетная группа абонентского отдела по работе с населением",0,,
1388,2438,"4849110",0,0,0,"",1,1,911
1396,2455,"2139417",0,0,0,"",0,1,906
1405,2471,"519053",0,0,0,"",0,,
1423,2506,"777001",0,0,0,"",1,,
24071,42588,"22241",0,0,0,"",1,,
5017,53635,"956878",0,0,0,"Группа абонентского отдела по работе с населением (по опломбировке)",1,,
1556,2755,"211545",1,0,0,"",1,,
1562,2765,"519065",0,0,0,"",1,,
1568,2779,"533284",1,0,0,"",0,,
1572,2788,"763506",0,0,0,"",0,,
5017,53636,"952796",0,0,0,"Техническая группа (контролеры)",1,,
1114,2811,"691806",1,0,0,"",0,,
6404,33909,"772505",0,0,0,"",1,,
20151,33910,"702561",0,0,0,"",0,,
24072,42589,"22309",0,0,0,"",1,,
5017,53637,"935806",0,0,0,"Техническая группа (контролеры)",0,,
24074,42591,"29231",0,0,0,"",1,,
,16497,"4658005",0,0,0,"",1,1,911
5017,53638,"563149",0,0,0,"Договорной отдел",1,,
1595,2822,"210528",0,0,0,"",1,,
8922,29784,"778889",0,0,0,"",0,,
8922,29785,"631030",0,0,0,"",1,,
5017,53639,"216593",0,0,0,"Договорной отдел",0,,
20158,33917,"4624745",0,0,0,"",1,1,981
24075,42592,"27332",0,0,0,"",1,,
956,1623,"991353",0,0,0,"",0,,
967,1640,"323646",0,0,0,"",1,,
980,1661,"982065",1,0,0,"",1,,
996,1696,"953113",0,0,0,"",1,,
1004,1709,"642437",1,0,0,"",1,,
24076,42594,"28118",0,0,0,"",1,,
1029,1741,"705339",0,0,0,"",0,,
1047,1781,"772025",0,0,0,"",0,,
24077,42595,"26154",0,0,0,"",1,,
24079,42597,"29524",0,0,0,"",1,,
4897,35646,"563419",0,0,0,"Приемная/факс",0,,
4897,35647,"934202",0,0,0,"",1,,
4897,35648,"934207",0,0,0,"",0,,
1106,1902,"365406",1,0,0,"",0,,
4897,35649,"934755",0,0,0,"",0,,
4897,35650,"934070",0,0,0,"Бухгалтерия",0,,
1197,2045,"532712",1,0,0,"",0,,
21033,35657,"712811",0,0,0,"",1,,
1286,2228,"7938373",0,0,0,"",0,1,909
1294,2240,"963052",0,0,0,"",1,,
3235,5372,"31362",0,0,0,"",1,,
3246,5383,"35870",0,0,0,"",1,,
11645,18376,"218957",0,0,0,"",1,,
3333,5552,"310771",0,0,0,"",1,0,
3390,5629,"911586",1,0,0,"",1,,
3558,5866,"568861",1,0,0,"",1,,
3877,6346,"705705",0,0,0,"",1,,
3890,6360,"213986",1,0,0,"",1,,
3897,6369,"536512",1,0,0,"",1,,
11649,18387,"916566",0,0,0,"",1,,
24080,42598,"25355",0,0,0,"",1,,
3924,6413,"650412",0,0,0,"",1,,
24081,42605,"32000",0,0,0,"",1,,
24082,42606,"32415",0,0,0,"",1,,
3948,6445,"652878",0,0,0,"",1,,
19611,32981,"933500",0,0,0,"",1,,
4722,28358,"452535",1,0,0,"",0,,
24083,42607,"37025",0,0,0,"",1,,
21035,35661,"2943588",0,0,0,"",1,1,963
21036,35663,"31382",0,0,0,"",1,,
21037,35665,"65156",0,0,0,"",1,,
24084,42608,"32435",0,0,0,"",1,,
9168,32983,"956831",0,0,0,"",0,,
24085,42609,"23445",0,0,0,"",1,,
15418,32987,"0065254",0,0,0,"",0,1,921
19614,32988,"69872",0,0,0,"",1,,
14320,32989,"7751980",0,0,0,"",0,1,909
21038,35667,"31389",0,0,0,"",1,,
5406,35885,"31025",0,0,0,"",0,,
21099,35886,"965240",0,0,0,"",1,,
21100,35888,"4515139",0,0,0,"",1,1,911
21101,35889,"35904",0,0,0,"",1,,
25074,44581,"531984",0,0,0,"",1,,
10148,15652,"766111",0,0,0,"",1,,
25075,44582,"524202",0,0,0,"",1,,
8673,19749,"754400",0,0,0,"",1,,
28344,51304,"962253",0,0,0,"",0,,
28345,51305,"310698",0,0,0,"",1,,
1833,3193,"935794",0,0,0,"",1,,
25077,44584,"2122696",0,0,0,"",1,1,906
1866,3249,"741618",0,0,0,"",1,1,4012
1880,3270,"331442",1,0,0,"",0,,
25078,44585,"390524",0,0,0,"",1,,
13994,33918,"2121193",0,0,0,"",1,1,906
1903,3309,"915270",0,0,0,"",1,,
20159,33919,"577708",0,0,0,"",1,,
25079,44586,"341809",0,0,0,"",1,,
20159,33920,"4912078",0,0,0,"",0,1,911
28346,51306,"2123483",0,0,0,"",1,1,906
20161,33922,"7814398",0,0,0,"",1,1,909
20161,33923,"2366877",0,0,0,"",0,1,906
9868,33924,"8534056",0,0,0,"",0,1,911
28347,51307,"721587",0,0,0,"",1,,
4849,3330,"576077",0,0,0,"",1,,
28348,51308,"4845105",0,0,0,"",1,1,911
28349,51309,"365099",0,0,0,"",1,,
20162,33927,"4854275",0,0,0,"",1,1,911
1935,3355,"913124",0,0,0,"",0,,
1946,3370,"585861",1,0,0,"",0,,
27939,51382,"582828",0,0,0,"",0,,
1996,3458,"702061",1,0,0,"",1,,
2012,3482,"967131",0,0,0,"",0,,
2046,3529,"648456",1,0,0,"",0,,
2048,3533,"350356",1,0,0,"",1,,
2067,3564,"533535",0,0,0,"",1,,
24087,42611,"74423",0,0,0,"",1,,
24086,42610,"34637",0,0,0,"",1,,
24088,42613,"96623",0,0,0,"",1,,
2113,3638,"210921",0,0,0,"",1,,
17627,29363,"957003",0,0,0,"",0,,
2122,3652,"962189",0,0,0,"",1,,
17627,29364,"957001",0,0,0,"",1,,
5332,35896,"916424",0,0,0,"Отдел маркетинга",0,,
6086,35897,"538486",0,0,0,"Бухгалтерия",0,,
21103,35898,"538281",0,0,0,"",1,,
