"CONTRACT_ID","ORG_ID","CONTRACT_NAME","CONTRACT_CODE","TRANSACTION_DATE","CONTRACT_AMOUNT","PAYED_AMOUNT","DEBIT","STATUS_ID","PAY_DATE","SUGGEST_PAY_DATE"
2937,294,"124","124-ГТС-2012",01.08.11,2000,0,-2000,1003,,""
2938,9870,"129","129-ГТС-2012",01.08.11,5500,0,-5500,1003,,""
2939,17826,"153","153-ГТС-2012",26.09.11,7000,0,-7000,1003,,""
2940,18993,"117","117-ГТС-2012",13.09.11,5000,0,-5000,1003,,""
2941,7420,"116","116-ГТС-2012",13.05.11,5500,0,-5500,1003,,""
2942,17013,"865","865-ГТС-2012",04.09.11,2500,0,-2500,1003,,""
2946,2629,"6","6-ГТС-2012",26.09.11,12700,0,-12700,1003,,""
2947,16807,"937","937-ГТС-2012",22.08.11,5000,0,-5000,1003,,""
3716,6742,"467/1","467/1-ГТС-2014",01.04.13,13000,0,-13000,1003,,""
2950,410,"940","940-ГТС-2012",29.07.11,7200,0,-7200,1003,,""
2951,15589,"936","936-ГТС-2012",29.07.11,5000,0,-5000,1003,,""
2952,3015,"912","912-ГТС-2012",01.07.11,5000,0,-5000,1003,,""
2953,9009,"907","907-ГТС-2012",10.06.11,2500,0,-2500,1003,,""
2954,876,"919","919-ГТС-2012",01.07.11,11050,0,-11050,1003,,""
2955,2638,"918","918-ГТС-2012",20.06.11,12000,0,-12000,1003,,""
2956,1074,"913","913-ГТС-2012",08.06.11,6800,0,-6800,1003,,""
2957,1349,"906","906-ГТС-2012",06.06.11,4675,0,-4675,1003,,""
2958,627,"911","911-ГТС-2012",08.06.11,5000,0,-5000,1003,,""
2959,7214,"909","909-ГТС-2012",06.06.11,5500,0,-5500,1003,,""
2960,19781,"902","902-ГТС-2012",03.06.11,2000,0,-2000,1003,,""
2961,7909,"905","905-ГТС-2012",02.06.11,5000,0,-5000,1003,,""
3131,19779,"901","901-ГТС-2012",03.06.11,4500,0,-4500,1003,,""
2870,1705,"300","300-ГТС-2012",26.05.11,13600,0,-13600,1003,,""
2871,14957,"300/1","300/1-ГТС-2012",26.05.11,0,0,0,1003,,""
2963,19774,"900","900-ГТС-2012",27.05.11,2000,0,-2000,1003,,""
2962,14879,"904","904-ГТС-2012",01.06.11,20900,0,-20900,1003,,""
2964,1067,"916","916-ГТС-2012",16.06.11,11000,0,-11000,1003,,""
2965,1066,"916/1","916/1-ГТС-2012",16.06.11,0,0,0,1003,,""
2966,1145,"914","914-ГТС-2012",15.06.11,67150,0,-67150,1003,,""
2967,13929,"001","001-ГТС-2012",18.10.11,0,0,0,1003,,""
2968,17918,"939","939-ГТС-2012",28.07.11,8000,0,-8000,1003,,""
2969,20317,"325","325-ГТС-2012",24.10.11,8000,0,-8000,1003,,""
2970,1981,"5/523","5/523-ГТС-2012",02.11.11,13500,0,-13500,1003,,""
2971,20498,"5/522","5/522-ГТС-2012",24.10.11,4500,0,-4500,1003,,""
2972,11404,"5/521","5/521-ГТС-2012",21.10.11,2000,0,-2000,1003,,""
2973,4452,"5/519","5/519-ГТС-2012",20.10.11,7200,0,-7200,1003,,""
2974,1819,"5/518","5/518-ГТС-2012",21.10.11,8500,0,-8500,1003,,""
2975,1745,"5/518","5/518-ГТС-2012",21.10.11,0,0,0,1003,,""
2976,11309,"5/514","5/514-ГТС-2012",19.09.11,35300,0,-35300,1003,,""
2977,14956,"5/514","5/514-ГТС-2012",19.09.11,0,0,0,1003,,""
3723,4958,"473","473-ГТС-2014",25.03.13,23000,0,-23000,1003,,""
2979,672,"5/517","5/517-ГТС-2012",11.10.11,6800,0,-6800,1003,,""
2980,20075,"5/513","5/513-ГТС-2012",12.09.11,20000,0,-20000,1003,,""
2981,15927,"5/511","5/511-ГТС-2012",29.09.11,12500,0,-12500,1003,,""
2828,1214,"435","435-ГТС-2012",01.06.11,7200,0,-7200,1003,,""
2829,1001,"434","434-ГТС-2012",01.06.11,5000,0,-5000,1003,,""
3909,1312,"102/Б","102/Б-ГТС-2014",05.11.13,8000,0,-8000,1003,,""
2832,7366,"425","425-ГТС-2012",01.06.11,2000,0,-2000,1003,,""
2833,962,"426","426-ГТС-2012",01.06.11,2000,0,-2000,1003,,""
2834,6618,"432","432-ГТС-2012",01.06.11,13600,0,-13600,1003,,""
2835,2650,"422","422-ГТС-2012",01.06.11,13000,0,-13000,1003,,""
2836,1882,"428","428-ГТС-2012",01.06.11,8000,0,-8000,1003,,""
2837,911,"423","423-ГТС-2012",01.06.11,7200,0,-7200,1003,,""
2838,17709,"427","427-ГТС-2012",01.06.11,2000,0,-2000,1003,,""
2839,858,"424","424-ГТС-2012",01.06.11,6800,0,-6800,1003,,""
2840,5010,"420","420-ГТС-2012",01.06.11,5000,0,-5000,1003,,""
2841,11196,"417","417-ГТС-2012",06.04.11,8000,0,-8000,1003,,""
2842,4496,"415","415-ГТС-2012",05.04.11,16000,0,-16000,1003,,""
2843,12326,"408","408-ГТС-2012",23.03.11,5000,0,-5000,1003,,""
2844,100,"413","413-ГТС-2012",04.04.11,6800,0,-6800,1003,,""
3585,3468,"702/1","702/1-ГТС-2013",28.03.12,0,0,0,1003,,""
2846,3807,"412","412-ГТС-2012",01.04.11,8000,0,-8000,1003,,""
2847,15562,"411","411-ГТС-2012",31.03.11,5000,0,-5000,1003,,""
2848,6741,"409","409-ГТС-2012",24.03.11,4250,0,-4250,1003,,""
2849,9579,"402","402-ГТС-2012",24.03.11,13000,0,-13000,1003,,""
3908,1068,"357","357-ГТС-2014",22.10.13,6000,0,-6000,1003,,""
2850,1823,"403","403-ГТС-2012",21.03.11,4250,0,-4250,1003,,""
2851,1775,"406","406-ГТС-2012",23.03.11,5000,0,-5000,1003,,""
2852,4522,"405","405-ГТС-2012",21.03.11,8500,0,-8500,1003,,""
2853,11308,"405/1","405/1-ГТС-2012",21.03.11,0,0,0,1003,,""
2854,14478,"404","404-ГТС-2012",21.03.11,5000,0,-5000,1003,,""
2858,2205,"903","903-ГТС-2012",26.05.11,5000,0,-5000,1003,,""
2859,3215,"910","910-ГТС-2012",18.06.11,5000,0,-5000,1003,,""
2860,444,"932","932-ГТС-2012",21.07.11,4500,0,-4500,1003,,""
2861,137,"474","474-ГТС-2012",01.09.11,5000,0,-5000,1003,,""
2862,1131,"433","433-ГТС-2012",01.06.11,8000,0,-8000,1003,,""
2863,10241,"421","421-ГТС-2012",01.06.11,5000,0,-5000,1003,,""
2865,12690,"414","414-ГТС-2012",05.04.11,10000,0,-10000,1003,,""
