"ADDRESS_ID","HOUSE","ENTRANCE","CASE","STAGE","OFFICE","CABINET","DISTRICT_ID","CITY_ID","STREET_ID","POST_INDEX_ID","OTHER","PAVILION","LITERA"
1129,"230 А","","","","","",,0,6,9,"","",""
1182,"202","","","","","",,0,535,,"отель Балтика","",""
1186,"28","","","","","",,0,438,,"","",""
25276,"","","","","","",,0,,,"","",""
25277,"34","","","","","",,0,766,,"","",""
25278,"60-66","","","","","",,0,438,,"","",""
1202,"40","","","11","","19",,0,535,5,"","",""
25279,"2 А","","","","","",,0,375,,"","",""
1211,"15","","","","","",,0,714,,"","",""
1215,"3","","","","","",,0,900,122,"","",""
1219,"63","","","","","",,0,323,,"","",""
1224,"54","","","","","",,0,550,,"","",""
1226,"10","","","2","","",,0,640,,"(Кловер Сити Центр)","",""
1228,"40","","","8","8/10","",,0,535,,"","",""
1236,"13 А","","","","","",,0,438,,"","",""
1244,"4","","","","2","",,0,1834,,"","",""
1256,"61 Б","","","","","",,0,504,,"","",""
1265,"57","","","5","503","",,0,50,,"","",""
25280,"20","","","","","",,14,1090,,"","",""
1278,"102 В","","","","","",,0,24,,"","",""
1282,"2","","","","4","",,0,384,,"","",""
25281,"84","","","","","",,0,314,,"","",""
25283,"112","","","","","",,0,766,,"","",""
25284,"2","","","","","",,0,841,,"","",""
29336,"23 Г","","","","","",,0,879,,"","",""
29337,"7","","","","","",,0,275,,"","",""
1303,"50","","","","","",,0,793,,"","",""
1307,"16","","","","","318",,0,766,,"","",""
1311,"5","","","","","",,0,591,,"","",""
1315,"34","","","","","",,0,34,0,"","",""
1323,"40","","","","","",,0,535,5,"","",""
29338,"2 А","","","","","",,0,633,,"","",""
1331,"34/38 А","","","","","",,0,376,,"","",""
1336,"2 В","","","","","",,0,828,,"","",""
1345,"246","","","","","",,0,245,,"","",""
1354,"81","","","","","",,0,438,,"","",""
1358,"63 А","","","","","",,0,515,,"","",""
29534,"171 А","","","","","",,0,535,,"","",""
169,"40","","","","","",,0,535,5,"","",""
79,"55","","","","333","",,0,214,,"","",""
29340,"85-87","","","","","",,0,348,,"","",""
135,"11","","","","","",,0,445,8,"","",""
137,"183","","","","","",,0,535,,"","",""
138,"62","","","","","",,0,454,,"","",""
139,"","","","","","",,0,,,"","",""
140,"","","","","","",,0,,,"","",""
141,"","","","","","",,0,,,"","",""
142,"","","","","","",,0,,,"","",""
143,"85","","","","","",,0,438,122,"","",""
144,"17 Б","","","","","",,0,188,122,"","",""
145,"59 А","","","","","",,0,310,122,"","",""
146,"7/9","","","","","",,0,438,122,"","",""
147,"1","","","","","",,0,651,122,"","",""
148,"173","","","","","",,0,535,,"","",""
149,"173","","","","","",,0,535,,"","",""
152,"6","","","","","",,0,237,,"","",""
153,"2 Б","","","","","",,0,330,,"","",""
154,"66","","","","","",,0,1013,,"","",""
156,"81","","","","","",,0,447,,"","",""
158,"","","","","","",,0,,,"","",""
160,"3","","","","","",,3,1128,107,"","",""
164,"261","","","","","",,0,535,,"","",""
173,"33","","","","","",,0,392,,"","",""
181,"53","","","","","",,0,77,8,"","",""
185,"12","","","","","",,9,1076,105,"","",""
192,"40","","","","","",,0,535,,"","130",""
199,"40","","","","","",,0,535,,"","122",""
203,"11","","","","","",,0,407,122,"","",""
207,"30","","","1","","",,0,818,,"","",""
213,"131","","","6","607, 608","",,0,438,,"","",""
221,"50","","","","","",,0,766,122,"","",""
29341,"58 А","","","","","",,0,310,,"","",""
239,"71","","","","","",,0,675,,"","",""
243,"1","","","","","",,0,345,,"","",""
251,"21/23","","","","","",,0,50,,"","",""
254,"20","","","","","",,0,276,,"","",""
258,"3","","","","","",,0,103,,"","",""
266,"2","","","","214","",,0,63,,"","",""
29342,"50","","","","","",,0,496,,"","",""
278,"58","","","","","112а",,0,310,0,"","",""
285,"2","","","2","256","",,0,63,,"","",""
289,"18","","","","304","",,0,438,,"","",""
290,"","","","","","",,0,,,"","",""
293,"30","","","","","410",,0,818,,"Европа-Центр","",""
29343,"15","","","","3","",,0,231,,"","",""
29348,"22","","","","","",,0,45,,"","",""
877,"66","","","","","",,0,1013,,"","",""
880,"66","","","","","",,0,1013,,"","",""
884,"32","","","","","",,0,766,122,"","",""
29345,"83 А","","","","","",,0,352,,"","",""
934,"17 Б","","","","","",,0,188,,"","",""
938,"17 В","","","","","",,0,188,,"","",""
939,"","","","","","",,0,,,"","",""
949,"2/4","","","","","",,0,100,,"","",""
29346,"20 В","","","","","",,0,657,,"","",""
29347,"44","","","","","",,0,6,,"","",""
29349,"40","","","2","","",,0,535,,"","",""
29532,"1","","","","","",,2,1030,,"","",""
970,"4","","","","","",,0,375,,"","",""
978,"6","","","","103","",,0,902,,"","",""
993,"18","","","","427","",,0,314,,"","",""
29533,"18","","","","","",,0,314,,"","",""
1003,"26","","","","","",,0,874,11,"","",""
1007,"15","","","","","",,0,902,122,"","",""
1017,"14","","","2","38","",,0,494,,"","",""
1020,"20","","","","","",,0,136,,"","",""
12302,"","","","","","",,0,,,"","",""
136,"183","","","","","",,0,535,,"","",""
339,"5 ","","","","","",,0,186,,"","",""
340,"55","","","","","",,0,214,15,"","",""
341,"55/61 А","","","","","",,0,675,,"","",""
342,"3","","","","","",,0,459,,"","",""
24715,"123 А","","","2","","",,0,535,,"","16",""
24716,"5","","","","","",,0,675,,"","",""
351,"17 Б","","","10","1005","",,0,188,,"","",""
352,"17 Б","","","","614, 619","",,0,188,,"","",""
24717,"67 Б","","","","","",,0,438,,"","",""
24875,"5","","","","49","",,0,217,,"","",""
371,"12","","","","403 а","",,0,766,,"","",""
375,"12","","","","","",,0,766,,"","",""
385,"16","","","","302","",,0,766,,"","",""
24876,"84","","","","","",,0,515,,"","",""
469,"","","","","","",,0,,,"","",""
476,"40-12","","","","","",,0,576,,"","",""
484,"19","","","3","303","",,0,188,,"","",""
574,"45","","","","3","",,0,657,,"","",""
578,"17 В","","","","28","",,0,188,,"","",""
581,"106","","","","","",,0,926,,"","",""
24878,"5","","","","","",,0,217,,"","",""
594,"162 В","","","","","",,0,214,,"","",""
24879,"4","","","","43","",,0,217,,"","",""
599,"6","","","2","","",,0,874,,"","",""
630,"5","","","","","",,0,1006,,"","",""
634,"138 А","","","","","",,0,515,,"","",""
638,"100","","","","","",,0,1006,,"","",""
642,"2","","","","102","",,0,183,,"","",""
646,"2","","","","103","",,0,183,,"","",""
650,"15","","","","","",,0,185,,"","",""
657,"15","","","","","",,0,185,,"","",""
665,"54","","","","","",,0,225,,"","",""
669,"44","","","","","",,0,550,122,"","",""
25286,"122","","","","","",,0,180,,"","",""
682,"90 А","","","","","",,0,496,,"","",""
686,"24-8","","","","","",,0,188,,"","",""
