city_id,name,phone_code
236,"Побережье (Багратионовский р-н)",40156
240,"Клюквенное (Зеленоградский р-н)",40150
242,"Мечниково (Балтийский р-н)",40145
246,"Ясная Поляна (Нестеровский р-н)",40144
249,"Моршанское (Гурьевский р-н)",40151
255,"Дубовая Роща (Нестеровский р-н)",40144
257,"Калинино (Нестеровский р-н)",40144
23,"Гвардейск",40159
14,"Черняховск",40141
15,"Славск",40163
17,"Озерск",40142
19,"Ладушкин",40156
21,"Багратионовск",40156
172,"Большое Исаково (Гурьевский р-н)",4012
216,"Новостроево (Озерский р-н)",40142
8,"Гурьевск",40151
10,"Приморск (Светлогорский р-н)",40145
28,"Багратионово (Озерский р-н)",40142
35,"Борское (Гвардейский р-н)",40159
56,"Добровольск (Краснознаменский р-н)",40164
66,"Ермаково (Правдинский р-н)",40157
71,"Залесье (Полесский р-н)",40158
81,"Истровка (Гвардейский р-н)",40159
178,"Севское (Правдинский р-н)",40157
190,"Советское (Славский р-н)",40163
209,"Жилино (Неманский р-н)",40162
243,"Головкино (Полесский р-н)",40158
250,"Свободное (Гурьевский р-н)",40151
261,"Калининское  (Гусевский р-н)",40143
98,"Маломожайское (Неманский р-н)",40162
105,"Муромское (Зеленоградский р-н)",40150
114,"Орловка (Гурьевский р-н)",40151
144,"Тимофеевка (Черняховский р-н)",40141
156,"Яблоневка (Гурьевский р-н)",40151
225,"Переславское (Зеленоградский р-н)",40150
256,"Славское (Багратионовский р-н)",40156
220,"Чехово (Багратионовский р-н)",40156
204,"Нивенское (Багратионовский р-н)",40156
294,"Краснолесье (Нестеровский р-н)",40144
295,"Пушкино (Нестеровский р-н)",40144
320,"Горино (Неманский р-н)",40162
323,"Мушкино (Багратионовский р-н)",40156
324,"Тростники (Правдинский р-н)",40157
329,"Круглово (Зеленоградский р-н)",40150
330,"Малое Луговое (Гурьевский р-н)",40151
333,"Февральское (Полесский р-н)",40158
334,"Цветково (Гурьевский р-н)",4012
335,"Никольское (Краснознаменский р-н)",40164
336,"Дмитриевка (Нестеровский р-н)",40144
337,"Тюленино (Полесский р-н)",40158
339,"Шолохово (Полесский р-н)",40158
340,"Пригородное (Нестеровский р-н)",40144
341,"Новоколхозное (Неманский р-н)",40162
342,"Шатрово (Гурьевский р-н)",40151
343,"Канаш (Неманский р-н)",40162
344,"Большое Село (Неманский р-н)",40162
346,"Павлинино (Зеленоградский р-н)",40150
347,"Хлебниково (Краснознаменский р-н)",40164
352,"Ленинское (Славский р-н)",40163
351,"Большие Бережки (Славский р-н)",40163
353,"Вишневка (Славский р-н)",40163
354,"Хрустальное (Славский р-н)",40163
355,"Толстово (Краснознаменский р-н)",40164
358,"Задорожье (Озерский р-н)",40142
357,"Новоуральск (Краснознаменский р-н)",40164
361,"Дивное (Балтийский р-н)",40145
362,"Орехово (Гвардейский р-н)",40159
286,"Липняки (Правдинский р-н)",40157
287,"Фрунзенское (Правдинский р-н)",40157
317,"Краснооктябрьское (Черняховский р-н)",40141
332,"Сосновка (Зеленоградский р-н)",40150
327,"Плавни (Озерский р-н)",40142
328,"Смирново (Озерский р-н)",40142
331,"Рязанское (Озерский р-н)",40142
316,"Гремячье (Черняховский р-н)",40141
318,"Ижевское (Светловский ГО)",40152
52,"Грачевка (Зеленоградский р-н)",40150
75,"Заостровье (Зеленоградский р-н)",40155
161,"Крылово (Правдинский р-н)",40157
184,"Мысовка (Славский р-н)",40163
202,"Корнево (Багратионовский р-н)",40156
212,"Бабушкино (Нестеровский р-н)",40144
239,"Малое Васильково (Гурьевский р-н)",4012
247,"Лесково (Краснознаменский р-н)",40164
86,"Колосовка (Зеленоградский р-н)",40150
94,"Куйбышевское (Гвардейский р-н)",40159
101,"Матросово (Гурьевский р-н)",40151
109,"Озерки (Гвардейский р-н)",40159
122,"Пеереславское (Зеленоградский р-н)",40150
149,"Холмогоровка (Зеленоградский р-н)",40150
166,"Красное (Славский р-н)",40163
177,"Некрасово (Гурьевский р-н)",40151
238,"Трубкино (Гурьевский р-н)",40151
265,"Голубево (Гурьевский р-н)",4012
5,"Мамоново",40156
288,"Дальнее (Полесский р-н)",40158
289,"Ильичевка (Полесский р-н)",40158
290,"Новая Деревня (Полесский р-н)",40158
291,"Северный (Багратионовский р-н)",40156
292,"Липово  (Гусевский р-н)",40143
293,"Фурмановка (Нестеровский р-н)",40144
296,"Луговое (Нестеровский р-н)",40144
297,"Лунино (Неманский р-н)",40162
298,"Придорожное (Славский р-н)",40163
299,"Яснополянка (Славский р-н)",40163
300,"Полтавское (Краснознаменский р-н)",40164
301,"Неманское (Краснознаменский р-н)",40164
302,"Заовражное (Черняховский р-н)",40141
303,"Краснополянское (Черняховский р-н)",40141
304,"Калужское (Черняховский р-н)",40141
305,"Маевка (Черняховский р-н)",40141
306,"Красноярское (Озерский р-н)",40142
307,"Львовское (Озерский р-н)",40142
308,"Лужки (Озерский р-н)",40142
309,"Нилово (Озерский р-н)",40142
310,"Мальцево (Озерский р-н)",40142
311,"Карамышево (Озерский р-н)",40142
312,"Добрино (Гурьевский р-н)",40151
319,"Сиреневка (Черняховский р-н)",40141
321,"Приморье (Светлогорский р-н)",40153
364,"Невское (Гурьевский р-н)",4012
369,"Луговское (Зеленоградский р-н)",40150
384,"Победино  (Краснознаменский р-н)",40164
385,"Заречье (Гвардейский р-н)",40159
386,"Зорино (Гвардейский р-н)",40159
365,"Малиновка (Гвардейский р-н)",40159
366,"Новая Деревня (Черняховский р-н)",40141
372,"Отрадное (Гурьевский р-н)",40151
376,"Прибрежное (Гурьевский р-н)",40151
381,"Матросово (Полесский р-н)",40158
382,"Рыбкино (Полесский р-н)",40158
387,"Суворовка (Озерский р-н)",40142
388,"Садовое (Озерский р-н)",40142
389,"Кубановка  (Гусевский р-н)",40143
390,"Первомайское  (Гусевский р-н)",40143
391,"Ильинское  (Нестеровский р-н)",40144
392,"Поваровка (Зеленоградский р-н)",40150
393,"Приморск",40145
394,"Гвардейское (Багратионовский р-н)",40156
395,"Партизанское (Багратионовский р-н)",40156
396,"Сосновка (Гурьевский р-н)",40151
404,"Люблино-Новое (Светловский ГО)",40152
368,"Чайковский (Правдинский р-н)",40157
371,"Филино (Зеленоградский р-н)",40150
402,"Прохоровка (Гурьевский р-н)",40151
363,"Ново-Дорожный (Гурьевский р-н)",40151
367,"Ласкино (Гурьевский р-н)",4012
375,"Кумачево (Зеленоградский р-н)",40150
383,"Ракитино (Неманский р-н)",40162
