soc_rub_id,name
114,"ЦЕНТРЫ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ"
115,"БАССЕЙНЫ ПЛАВАТЕЛЬНЫЕ"
117,"СПОРТИВНЫЕ ЗАЛЫ, СТАДИОНЫ, КОРТЫ"
118,"СПОРТИВНЫЕ ОРГАНИЗАЦИИ, КЛУБЫ, ФЕДЕРАЦИИ"
119,"СПОРТИВНЫЕ ШКОЛЫ"
121,"СЛУЖБА СУДЕБНЫХ ПРИСТАВОВ"
122,"СУДЫ"
123,"ЮСТИЦИЯ"
126,"МОРСКОЙ И РЕЧНОЙ ТРАНСПОРТ"
133,"ФЕДЕРАЛЬНЫЕ АГЕНТСТВА"
134,"МИНИСТЕРСТВА ПРАВИТЕЛЬСТВА КАЛИНИНГРАДСКОЙ ОБЛАСТИ"
140,"КОНСУЛЬСТВА И ПРЕДСТАВИТЕЛЬСТВА"
142,"ИСКУССТВО, ТВОРЧЕСКИЕ КОЛЛЕКТИВЫ"
129,"ПРАВОЗАЩИТА"
138,"ПРОФЕССИОНАЛЬНЫЕ СОЮЗЫ"
139,"ЛИНЕЙНЫЕ ОТДЕЛЫ ПОЛИЦИИ"
136,"САНИТАРНЫЕ ЧАСТИ"
3,"БОЛЬНИЦЫ"
132,"ЖЕЛЕЗНОДОРОЖНЫЙ ТРАНСПОРТ, ВОКЗАЛЫ"
137,"ГОСНАРКОКОНТРОЛЬ"
