street_id,name,city_id
740,"Селенгинская ул.",0
741,"Семипалатинская ул.",0
742,"Сенокосная ул.",0
743,"Серафимовича ул.",0
744,"Сергеева ул.",0
745,"Сержанта Ахмедова ул.",0
746,"Сержанта Бурыхина ул.",0
747,"Сержанта Колоскова ул.",0
748,"Сержанта Мишина ул.",0
749,"Сержанта Щедина ул.",0
750,"Сержантская ул.",0
751,"Серова ул.",0
752,"Серпуховская ул.",0
753,"Серпуховский пер.",0
754,"Сестрорецкая ул.",0
755,"Сеченова ул.",0
756,"Сибирская ул.",0
757,"Сиреневая ул.",0
758,"Славянская ул.",0
760,"Славянский пер.",0
761,"Смоленская ул.",0
763,"Снайпер.ский пер.",0
764,"Советская ул.",0
765,"Советский пер.",0
766,"Советский пр.-т",0
768,"Согласия ул.",0
769,"Соколиная ул.",0
770,"Солдатская ул.",0
771,"Солдатский 1-й пер.",0
772,"Солдатский 2-й пер.",0
773,"Солнечногорская ул.",0
774,"Солнечный б-р",0
775,"Сосновая ул.",0
776,"Сосновый Бор ул.",0
777,"Спортивная ул.",0
778,"Спортивный пер.",0
779,"Ставропольская ул.",0
780,"Станиславского ул.",0
1746,"Горького ул.",14
781,"Станочная ул.",0
782,"Станочный пер.",0
783,"Старокаменная ул.",0
784,"Старокаменный пер.",0
785,"Староорудийная ул.",0
786,"Старопр.егольская наб.",0
787,"Старорусская ул.",0
788,"Старосапер.ная ул.",0
789,"Старшего лейтенанта Сибирякова ул.",0
790,"Карташева пер.",0
791,"Карташева ул.",0
792,"Старшины Дадаева ул.",0
793,"Стекольная ул.",0
794,"Столярная ул.",0
795,"Столярный пер.",0
796,"Стрелецкая ул.",0
797,"Стрелковая ул.",0
798,"Строительная ул.",0
799,"Судостроительная 2-я ул.",0
800,"Судостроительная ул.",0
801,"Судостроительный пер.",0
802,"Сурикова пер.",0
803,"Сурикова ул.",0
804,"Сухумская ул.",0
805,"Сухумский пер.",0
806,"Счастливая ул.",0
807,"Сызранская ул.",0
808,"Сызранский пер.",0
809,"Таганрогская ул.",0
810,"Таганрогский пер.",0
811,"Таймырская ул.",0
812,"Тамбовская ул.",0
813,"Танковая ул.",0
814,"Ташкентская ул.",0
815,"Тбилисская ул.",0
816,"Тбилисский пер.",0
817,"Тверская ул.",0
818,"Театральная ул.",0
819,"Театральный пер.",0
820,"Тельмана ул.",0
821,"Тенистая аллея ул.",0
822,"Тимирязева ул.",0
823,"Типографская ул.",0
824,"Тихая ул.",0
825,"Тихоненко ул.",0
826,"Тихоокеанская ул.",0
827,"Тихоокеанский пер.",0
828,"Тихорецкая ул.",0
829,"Тихорецкий пр.",0
830,"Тихорецкий тупик",0
831,"Тобольская ул.",0
832,"Товарная ул.",0
833,"Товарный пер.",0
834,"Толбухина ул.",0
835,"Томская ул.",0
836,"Трамвайный 2-й пер.",0
837,"Трамвайный пер.",0
838,"Транспортная ул.",0
839,"Транспортный пер.",0
840,"Гуськова пл.",0
841,"Третьяковская ул.",0
843,"Трудовая ул.",0
844,"Тул.ьская ул.",0
845,"Тургенева ул.",0
846,"Туркменская ул.",0
847,"Туруханская ул.",0
848,"Туруханский 1-й пер.",0
849,"Туруханский 2-й пер.",0
850,"У. Громовой ул.",0
851,"Угловая ул.",0
852,"Узловая ул.",0
853,"ул.ьяновская ул.",0
854,"Университетская ул.",0
855,"Уральская ул.",0
856,"Урицкого ул.",0
858,"Успенского ул.",0
859,"Уфимская ул.",0
861,"Ушакова ул.",0
862,"Ушинского ул.",0
863,"Уютная ул.",0
864,"Ф. Воейкова ул.",0
865,"Ф. Лефорта б-р",0
868,"Энгельса ул.",0
869,"Фабричная ул.",0
870,"Фестивальная аллея ул.",0
871,"Физкул.ьтурная ул.",0
873,"Фортовая дорога ул.",0
874,"Фрунзе ул.",0
875,"Фурманова ул.",0
876,"Хабаровская ул.",0
877,"Харьковская ул.",0
920,"Щорса ул.",0
922,"Эльблонгская ул.",0
923,"Энергетиков пер.",0
924,"Эпр.оновская ул.",0
1013,"Ялтинская ул.",0
1014,"Шатурская ул.",0
1012,"Б. Окружная 2-я ул.",0
1020,"Ленина ул.",9
1021,"Садовая ул.",9
1022,"Янтарная ул.",10
1027,"Калининградский пр.-т",13
1028,"Московская ул.",6
1029,"Калининградская ул.",14
1030,"Искры ул.",2
1033,"Садовая ул.",8
1034,"Луговая ул.",8
1035,"пр.егельная ул.",14
1038,"Калининградское ш",2
1037,"Шевченко ул.",2
1039,"Советская ул.",8
1040,"Ленина ул.",15
1041,"Красноармейская ул.",1
1042,"А. Матросова ул.",20
1043,"Пионерская ул.",14
1044,"Цветочная ул.",14
1045,"Московская ул.",7
1046,"Черняховского ул.",18
1047,"Пограничная ул.",17
1048,"Багратиона ул.",21
1049,"Евсеева ул.",5
1050,"Победы ул.",19
1051,"Фабричная ул.",8
1052,"Красноармейская ул.",2
1053,"Верещагина ул.",13
1054,"Тургенева ул.",7
1055,"Калининградское ш",9
1056,"Чекистов ул.",5
1057,"Калининградская ул.",21
1058,"Дзержинского ул.",23
1059,"Гусевское ш",14
1061,"Красноармейская ул.",23
1062,"Центральный пер.",23
1063,"Ленина ул.",23
1064,"Школьный пер.",23
1076,"Егорова ул.",9
1077,"Лесопарковая ул.",7
1078,"Садовая ул.",12
1080,"Флотская ул.",12
1081,"А. Суворова ул.",17
1082,"Театральная ул.",2
1083,"Тельмана ул.",3
1086,"Вокзальная ул.",12
1087,"Дачная ул.",14
1088,"Калинина ул.",14
1089,"Железнодорожная ул.",14
1090,"Ленина ул.",14
1091,"Советский пер.",14
1092,"пер.вомайская ул.",7
1093,"Железнодорожная ул.",7
1094,"Советская ул.",17
1095,"Горького ул.",3
1096,"Советская ул.",3
1097,"Ленина ул.",7
1098,"Ленина пр.-т",9
1116,"Советская ул.",18
1100,"Дзержинского ул.",17
1101,"Ленина ул.",6
1102,"Тимирязева ул.",6
1103,"пр.авобережная ул.",6
1105,"Вокзальная ул.",6
1106,"Лесная ул.",8
1107,"Крайняя ул.",8
1747,"Мира ул.",14
1109,"Ленина ул.",8
1110,"Калининградское ш",8
1112,"Пограничная ул.",21
1113,"Советская ул.",1
1114,"Победы ул.",1
1115,"Московская ул.",18
1118,"Комсомольская ул.",18
1119,"Торговая ул.",16
1120,"50-летия Победы пл.",16
1121,"Вокзальная ул.",16
1122,"Кутузова ул.",16
1123,"А. Суворова ул.",22
1124,"Пионерская ул.",22
1125,"Советская ул.",15
1127,"Пушкина ул.",15
1129,"Тенистая аллея ул.",15
1130,"Водолазный пер.",9
1131,"Маяковского ул.",9
1140,"Берлинское ш",0
1141,"Калининградская ул.",8
1142,"Калининградская ул.",20
1143,"Советская ул.",20
1144,"Балтийская ул.",13
1145,"Юбилейная ул.",15
1146,"Чайковского ул.",9
1152,"Сиреневый пер.",13
1153,"Калининградская ул.",22
1154,"К. Маркса ул.",13
1155,"Подполковника Емельянова ул.",0
1156,"Больничная ул.",2
1157,"Коммунистическая ул.",3
1158,"Центральная ул.",3
1159,"ул.ьяновых ул.",6
1160,"Герцена ул.",2
1161,"Пушкина ул.",2
1162,"Советская ул.",6
1163,"Заречная ул.",8
1164,"Авиационная ул.",22
1166,"Победы пл.",17
1167,"Победы ул.",2
1169,"А. Суворова пер.",14
1170,"Госпитальная ул.",14
1171,"Спортивная ул.",14
1172,"Чайковского ул.",14
1184,"Красноармейская ул.",21
1185,"Столярная ул.",16
1186,"Баха ул.",13
1187,"Краснознаменская ул.",2
1188,"пер.вомайская ул.",6
1189,"Учительская ул.",15
1190,"Советская ул.",159
1191,"Горная ул.",23
1198,"Пионерская ул.",3
1199,"Ю. Гагарина ул.",3
1200,"Железнодорожный пер.",3
1201,"Красноармейский пер.",3
1202,"Гоголя ул.",2
1203,"Загородная ул.",21
1204,"Центральная ул.",5
1205,"Артиллерийская ул.",9
1206,"Заречная ул.",22
1207,"Лямина ул.",2
1208,"Ленина ул.",2
1209,"Советская ул.",14
1210,"Курортный пр.-т",7
1211,"А. Невского ул.",6
1213,"Крылова ул.",7
1214,"Октябрьская ул.",20
1215,"Октябрьская ул.",18
1216,"Железнодорожная ул.",13
1217,"Лесная ул.",137
1218,"Комсомольская ул.",15
1219,"Черняховского ул.",14
1220,"Лесная ул.",42
1221,"Лесная ул.",6
1222,"Мира ул.",3
1223,"Камышинский пер.",2
1240,"Центральная ул.",77
1241,"Центральная ул.",161
1242,"Фрунзенская ул.",162
1243,"Советская ул.",89
1244,"Гарнизонная ул.",163
1246,"Калининградская ул.",32
1248,"Центральная ул.",166
1249,"пер.вомайская ул.",2
1250,"Каштановая ул.",2
1253,"Ю. Гагарина ул.",14
1274,"Школьная ул.",143
1276,"Центральная ул.",187
1277,"Центральная ул.",195
1278,"А. Суворова ул.",2
1279,"Шоссейная ул.",2
1280,"Островского ул.",13
1016,"Ганзейский пер.",0
1017,"Пограничная ул.",7
1018,"Ю. Гагарина ул.",7
1019,"Советская ул.",22
