"ORG_ID","FACT_NAME","DATE_POSTED","PROJECT_ID","FROM_ID","SOC_RUBRIC","ACTIVE","MDF_USER","MDF_TIME","AUTHOR_USER","AGENT_ID"
20875,"Мир рамок",30.11.11,1007,2,1,1,"GTS_ADMIN",09.12.13,"GTS_ADMIN",1010
20871,"Автоцентр Кардан ",30.11.11,1007,2,1,1,"GTS_ADMIN",29.01.14,"GTS_ADMIN",1013
5670,"Управление торговли Балтийского флота",11.11.07,1007,2,2,1,"GTS_ADMIN",11.11.13,"",1007
18894,"№48 Средняя общеобразовательная школа",17.11.10,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
19299,"Горэнерго",02.12.10,1007,3,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",
18896,"Городской Центр образования",17.11.10,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1007
18897,"Вечерняя (сменная) общеобразовательная школа №17 при ИУ",17.11.10,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
22618,"Olmar",18.04.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
22619,"Organique",18.04.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
6258,"Грин Терминал ЗАО",13.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
6306,"Стоматологическая поликлиника г. Советска",13.11.07,1007,2,3,1,"GTS_ADMIN",11.11.13,"",1021
22620,"Otto Zimmermann GmbH",18.04.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
22621,"Proforma",18.04.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1011
18058,"TUI Калининград",,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1004
18173,"Оленьи Врата",,1007,3,1,1,"GTS_ADMIN",11.11.13,"",
10784,"Балтийский казачий союз",31.07.08,1007,2,2,1,"GTS_ADMIN",11.11.13,"",1010
18704,"Водонасосная станция",29.10.10,1007,2,2,1,"GTS_ADMIN",18.12.13,"GTS_ADMIN",1007
20874,"Пряничный домик",30.11.11,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1008
18785,"Областная медицинская страховая компания",03.11.10,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
18786,"Объединенные канализационно-водопроводные очистные сооружения курортной группы городов",03.11.10,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1007
11440,"Врач-вертоброневролог Ананьин К.В.",23.09.08,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
10359,"A+B Балтика",01.07.08,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
21841,"Усадьба Коротких",09.10.12,1007,4,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",
10891,"Элтехстандарт ООО",05.08.08,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
11695,"Ивас",26.09.08,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
12076,"Западный строитель",17.10.08,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
21842,"Усадьба Тимохиной",09.10.12,1007,4,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",
18230,"Телец ТПК",,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
5247,"ЖЭУ №7",06.11.07,1007,2,2,1,"GTS_ADMIN",11.11.13,"",1010
21843,"Чайков пруд",09.10.12,1007,4,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",
7654,"Планета-Плаза ООО",29.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
7672,"Белова О.Г. (Бугрова) Профессор гинеколог-эндокринолог",29.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
7685,"Профбалтсервис",29.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
7721,"Мега-Транс Балтийская консалтинговая компания",29.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1008
6575,"Аэропорт Храброво",16.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
9041,"Гелиос ",06.12.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1008
